from,to,weight,season
Mainz,1,50,2021
Nürnberg,33,3,2019
Stuttgart,42,,2021
Arsenal,5,30,2022
Hannover,2,40,2020
Iwata,37,4,2022
Zagreb,24,60,2018
Freiburg,15,10,2020
Hamburg,23,,2019
St. Truiden,3,20,2020
Kiel,16,8,2019
Juventus,32,20,2021
Chelsea,6,4,2020
Monaco,8,20,2021
Sandhausen,28,,2021
Paris,14,80,2019
Bielefeld,30,,2019
Düsseldorf,11,,2020
Sandhausen,20,30,2019
Instituto,31,20,2019
Stuttgart,25,,2020
Fenerbahce,34,,2021
Wolfsburg,10,,2018
Paris,7,,2019
Paderborn,22,30,2021
Admira,9,20,2019
VfB,18,,2023
VfB,17,,2022
Vejle,19,50,2021
Stuttgart,50,,2022
Stuttgart,44,,2021
,,,
1,deutschland,,
33,deutschland,,
42,deutschland,,
5,griechenland,,
2,deutschland,,
2,usbekistan,,
37,japan,,
24,kroatien,,
24,deutschland,,
15,deutschland,,
23,belgien,,
23,kongo,,
3,japan,,
16,deutschland,,
32,frankreich,,
32,komoren,,
6,england,,
6,kongo,,
8,frankreich,,
8,martinique,,
28,dänemark,,
28,ghana,,
14,kongo,,
30,deutschland,,
30,italien,,
11,deutschland,,
20,deutschland,,
31,deutschland,,
31,argentinien,,
25,deutschland,,
34,türkei,,
10,deutschland,,
10,benin,,
7,frankreich,,
7,elfenbeinküste,,
22,deutschland,,
9,österreich,,
9,serbien,,
18,portugal,,
17,ägypten,,
17,kanada,,
19,dänemark,,
19,afghanistan,,
50,frankreich,,
50,kamerun,,
44,niederlande,,
44,sierra leone,,
